Time	Voltage [V]	Voltage [V]
13:32:53.710	-0.371	9.657
13:32:53.777	0.074	9.587
13:32:53.818	0.369	9.562
13:32:53.877	0.761	9.595
13:32:53.917	0.965	9.739
13:32:53.976	1.156	9.672
13:32:54.017	1.193	9.670
13:32:54.077	1.109	9.664
13:32:54.117	0.965	9.667
13:32:54.177	0.637	9.656
13:32:54.217	0.365	9.657
13:32:54.276	-0.075	9.593
13:32:54.317	-0.365	9.562
13:32:54.377	-0.750	9.587
13:32:54.417	-0.950	9.752
13:32:54.477	-1.139	9.673
13:32:54.516	-1.176	9.666
13:32:54.577	-1.095	9.663
13:32:54.617	-0.953	9.671
13:32:54.677	-0.631	9.657
13:32:54.716	-0.364	9.657
13:32:54.777	0.074	9.587
13:32:54.817	0.364	9.564
13:32:54.877	0.751	9.589
13:32:54.917	0.953	9.751
13:32:54.977	1.141	9.664
13:32:55.017	1.178	9.669
13:32:55.077	1.097	9.657
13:32:55.117	0.954	9.661
13:32:55.177	0.631	9.668
13:32:55.217	0.364	9.673
13:32:55.276	-0.075	9.590
13:32:55.317	-0.366	9.562
13:32:55.377	-0.754	9.599
13:32:55.417	-0.957	9.745
13:32:55.476	-1.145	9.657
13:32:55.516	-1.182	9.686
13:32:55.577	-1.098	9.657
13:32:55.617	-0.956	9.667
13:32:55.676	-0.633	9.672
13:32:55.717	-0.366	9.661
13:32:55.777	0.074	9.588
13:32:55.817	0.365	9.561
13:32:55.877	0.752	9.604
13:32:55.917	0.955	9.738
13:32:55.977	1.144	9.659
13:32:56.017	1.181	9.668
13:32:56.076	1.097	9.667
13:32:56.116	0.955	9.659
13:32:56.177	0.632	9.658
13:32:56.218	0.364	9.662
13:32:56.277	-0.075	9.586
13:32:56.317	-0.366	9.565
13:32:56.377	-0.753	9.596
13:32:56.418	-0.956	9.755
13:32:56.477	-1.143	9.661
13:32:56.517	-1.180	9.670
13:32:56.576	-1.098	9.656
13:32:56.617	-0.955	9.660
13:32:56.677	-0.633	9.657
13:32:56.716	-0.366	9.667
13:32:56.777	0.073	9.593
13:32:56.817	0.364	9.567
13:32:56.876	0.752	9.594
13:32:56.917	0.954	9.736
13:32:56.977	1.142	9.658
13:32:57.017	1.179	9.686
13:32:57.077	1.096	9.656
13:32:57.117	0.954	9.672
13:32:57.177	0.631	9.658
13:32:57.216	0.364	9.668
13:32:57.277	-0.075	9.589
13:32:57.316	-0.365	9.564
13:32:57.376	-0.752	9.590
13:32:57.417	-0.955	9.739
13:32:57.477	-1.143	9.657
13:32:57.516	-1.180	9.669
13:32:57.576	-1.097	9.663
13:32:57.617	-0.954	9.658
13:32:57.677	-0.632	9.656
13:32:57.717	-0.365	9.658
13:32:57.777	0.073	9.586
13:32:57.818	0.364	9.569
13:32:57.876	0.751	9.603
13:32:57.918	0.953	9.737
13:32:57.977	1.141	9.664
13:32:58.016	1.178	9.671
13:32:58.077	1.096	9.657
13:32:58.117	0.953	9.668
13:32:58.178	0.631	9.658
13:32:58.216	0.364	9.658
13:32:58.277	-0.075	9.570
13:32:58.317	-0.366	9.564
13:32:58.377	-0.752	9.603
13:32:58.417	-0.955	9.745
13:32:58.476	-1.142	9.660
13:32:58.517	-1.179	9.672
13:32:58.576	-1.096	9.658
13:32:58.617	-0.954	9.672
13:32:58.677	-0.632	9.664
13:32:58.718	-0.365	9.657
13:32:58.777	0.073	9.591
13:32:58.816	0.364	9.571
13:32:58.878	0.751	9.596
13:32:58.918	0.953	9.737
13:32:58.977	1.141	9.661
13:32:59.016	1.178	9.667
13:32:59.076	1.094	9.657
13:32:59.117	0.953	9.657
13:32:59.177	0.630	9.670
13:32:59.216	0.363	9.659
13:32:59.278	-0.148	9.594
13:32:59.317	-0.365	9.564
13:32:59.377	-0.752	9.587
13:32:59.416	-0.953	9.739
13:32:59.477	-1.141	9.657
13:32:59.517	-1.178	9.666
13:32:59.577	-1.096	9.663
13:32:59.617	-0.953	9.666
13:32:59.677	-0.632	9.661
13:32:59.718	-0.365	9.672
13:32:59.777	0.073	9.587
13:32:59.818	0.363	9.569
13:32:59.877	0.750	9.596
13:32:59.917	0.952	9.736
13:32:59.977	1.140	9.657
13:33:00.016	1.177	9.681
13:33:00.078	1.094	9.657
13:33:00.116	0.952	9.658
13:33:00.177	0.630	9.667
13:33:00.216	0.363	9.659
13:33:00.276	-0.075	9.572
13:33:00.317	-0.365	9.562
13:33:00.376	-0.751	9.586
13:33:00.417	-0.953	9.738
13:33:00.477	-1.141	9.648
13:33:00.517	-1.177	9.671
13:33:00.577	-1.095	9.653
13:33:00.617	-0.953	9.662
13:33:00.677	-0.632	9.656
13:33:00.717	-0.365	9.661
13:33:00.777	0.073	9.590
13:33:00.817	0.363	9.566
13:33:00.877	0.750	9.600
